Kare,Tip,PSNR,Bandwidth
180,SUNUCU_KARE,inf,DOWNLOADED
181,SUNUCU_KARE,inf,DOWNLOADED
182,SUNUCU_KARE,inf,DOWNLOADED
183,SUNUCU_KARE,inf,DOWNLOADED
184,SUNUCU_KARE,inf,DOWNLOADED
185,SUNUCU_KARE,inf,DOWNLOADED
186,SUNUCU_KARE,inf,DOWNLOADED
187,SUNUCU_KARE,inf,DOWNLOADED
188,SUNUCU_KARE,inf,DOWNLOADED
189,SUNUCU_KARE,inf,DOWNLOADED
190,SUNUCU_KARE,inf,DOWNLOADED
191,SUNUCU_KARE,inf,DOWNLOADED
192,SUNUCU_KARE,inf,DOWNLOADED
193,SUNUCU_KARE,inf,DOWNLOADED
194,SUNUCU_KARE,inf,DOWNLOADED
195,SUNUCU_KARE,inf,DOWNLOADED
196,SUNUCU_KARE,inf,DOWNLOADED
197,SUNUCU_KARE,inf,DOWNLOADED
198,SUNUCU_KARE,inf,DOWNLOADED
199,SUNUCU_KARE,inf,DOWNLOADED
200,SUNUCU_KARE,inf,DOWNLOADED
201,SUNUCU_KARE,inf,DOWNLOADED
202,SUNUCU_KARE,inf,DOWNLOADED
203,SUNUCU_KARE,inf,DOWNLOADED
204,SUNUCU_KARE,inf,DOWNLOADED
205,SUNUCU_KARE,inf,DOWNLOADED
206,SUNUCU_KARE,inf,DOWNLOADED
207,SUNUCU_KARE,inf,DOWNLOADED
208,SUNUCU_KARE,inf,DOWNLOADED
209,SUNUCU_KARE,inf,DOWNLOADED
210,AI_SENTEZ,36.62,SAVED
211,SUNUCU_KARE,inf,DOWNLOADED
212,SUNUCU_KARE,inf,DOWNLOADED
213,SUNUCU_KARE,inf,DOWNLOADED
214,SUNUCU_KARE,inf,DOWNLOADED
215,AI_SENTEZ,37.29,SAVED
216,SUNUCU_KARE,inf,DOWNLOADED
217,AI_SENTEZ,39.78,SAVED
218,SUNUCU_KARE,inf,DOWNLOADED
219,AI_SENTEZ,44.12,SAVED
220,SUNUCU_KARE,inf,DOWNLOADED
221,AI_SENTEZ,44.55,SAVED
222,SUNUCU_KARE,inf,DOWNLOADED
223,AI_SENTEZ,44.10,SAVED
224,SUNUCU_KARE,inf,DOWNLOADED
225,AI_SENTEZ,39.66,SAVED
226,AI_SENTEZ,37.61,SAVED
227,AI_SENTEZ,35.52,SAVED
228,SUNUCU_KARE,inf,DOWNLOADED
229,AI_SENTEZ,38.35,SAVED
230,SUNUCU_KARE,inf,DOWNLOADED
231,AI_SENTEZ,37.16,SAVED
232,SUNUCU_KARE,inf,DOWNLOADED
233,SUNUCU_KARE,inf,DOWNLOADED
234,AI_SENTEZ,37.35,SAVED
235,SUNUCU_KARE,inf,DOWNLOADED
236,SUNUCU_KARE,inf,DOWNLOADED
237,SUNUCU_KARE,inf,DOWNLOADED
238,SUNUCU_KARE,inf,DOWNLOADED
239,SUNUCU_KARE,inf,DOWNLOADED
240,SUNUCU_KARE,inf,DOWNLOADED
241,AI_SENTEZ,36.30,SAVED
242,SUNUCU_KARE,inf,DOWNLOADED
243,AI_SENTEZ,35.85,SAVED
244,SUNUCU_KARE,inf,DOWNLOADED
245,AI_SENTEZ,35.99,SAVED
246,SUNUCU_KARE,inf,DOWNLOADED
247,AI_SENTEZ,36.22,SAVED
248,SUNUCU_KARE,inf,DOWNLOADED
249,AI_SENTEZ,36.51,SAVED
250,SUNUCU_KARE,inf,DOWNLOADED
251,AI_SENTEZ,37.50,SAVED
252,SUNUCU_KARE,inf,DOWNLOADED
253,AI_SENTEZ,36.86,SAVED
254,SUNUCU_KARE,inf,DOWNLOADED
255,AI_SENTEZ,37.87,SAVED
256,SUNUCU_KARE,inf,DOWNLOADED
257,AI_SENTEZ,37.41,SAVED
258,AI_SENTEZ,35.51,SAVED
259,AI_SENTEZ,34.20,SAVED
260,SUNUCU_KARE,inf,DOWNLOADED
261,AI_SENTEZ,38.58,SAVED
262,AI_SENTEZ,36.67,SAVED
263,AI_SENTEZ,35.12,SAVED
264,SUNUCU_KARE,inf,DOWNLOADED
265,AI_SENTEZ,43.19,SAVED
266,SUNUCU_KARE,inf,DOWNLOADED
267,AI_SENTEZ,42.56,SAVED
268,SUNUCU_KARE,inf,DOWNLOADED
269,AI_SENTEZ,36.56,SAVED
270,AI_SENTEZ,33.56,SAVED
271,AI_SENTEZ,31.85,SAVED
272,AI_SENTEZ,32.05,SAVED
273,AI_SENTEZ,31.93,SAVED
274,AI_SENTEZ,33.53,SAVED
275,AI_SENTEZ,35.77,SAVED
276,SUNUCU_KARE,inf,DOWNLOADED
277,AI_SENTEZ,37.87,SAVED
278,AI_SENTEZ,35.69,SAVED
279,AI_SENTEZ,34.16,SAVED
280,SUNUCU_KARE,inf,DOWNLOADED
281,AI_SENTEZ,39.81,SAVED
282,SUNUCU_KARE,inf,DOWNLOADED
283,AI_SENTEZ,38.81,SAVED
284,SUNUCU_KARE,inf,DOWNLOADED
285,SUNUCU_KARE,inf,DOWNLOADED
286,SUNUCU_KARE,inf,DOWNLOADED
287,AI_SENTEZ,36.86,SAVED
288,SUNUCU_KARE,inf,DOWNLOADED
289,AI_SENTEZ,36.48,SAVED
290,SUNUCU_KARE,inf,DOWNLOADED
